title,author,publisher,first_edition,ISBN,language,category,publication,comment,on_loan
WIRED VOL.24/特集 NEW CITY 新しい都市,Conde Nast Japan (コンデナスト・ジャパン)  (著)、 WIRED編集部 (編集),コンデナスト・ジャパン,2016/8/9,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,0
WIRED（ワイアード）VOL.15,Conde Nast Japan (コンデナスト・ジャパン)  (著)、 WIRED編集部 (編集),コンデナスト・ジャパン,2015/4/1,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,0
WIRED VOL.13 (GQ JAPAN.2014年10月号増刊),Conde Nast Japan (コンデナスト・ジャパン)  (著)、 WIRED編集部 (編集),コンデナスト・ジャパン,2014/10/1,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,0
WIRED VOL.11 (GQ JAPAN.2014年4月号増刊)],Conde Nast Japan (コンデナスト・ジャパン)  (著)、 WIRED編集部 (編集),コンデナスト・ジャパン,2014/4/1,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,0
WIRED（ワイアード）VOL.14 [雑誌],Conde Nast Japan (コンデナスト・ジャパン)  (著)、 WIRED編集部 (編集),コンデナスト・ジャパン,2015/1/1,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,0
Arduinoでロボット工作をたのしもう!,鈴木 美朗志 (著),秀和システム,2014/10/3,978-4798041827,日本語,設計・ソフトウェア・DIY,単行本,,0
HAPTIC ―五感の覚醒,株式会社竹尾 (著)、 原研哉＋日本デザインセンター原デザイン研究所 (著),朝日新聞社,2004/9/30,978-4022579317,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,0
1000 Lights、 Volume II: 1960 - Present,Charlotte Fiell  (著)、 Peter Fiell  (著),Taschen America Llc,2005/5/11,978-3822824757,ENGLISH,アイデェア・イノベーション・ビジネスモデル,単行本,,0
Top Space & Art: Spatial and Graphic Design for Event and Exhibition,Ltd ArtPower International Publish Co. (Corporate Author),Azur Corporation,2010/11/16,978-9881768469,ENGLISH,アイデェア・イノベーション・ビジネスモデル,その他,,0
Raspberry Piで学ぶ ROSロボット入門,上田 隆一  (著),日経BP社,2017/4/3,978-4822239299,日本語,設計・ソフトウェア・DIY,単行本,,0
『takram design engineering|デザイン・イノベーションの振り子』 (現代建築家コンセプト・シリーズ18),takram design engineering(タクラム デザイン エンジニアリング) (著),LIXIL出版,2014/9/15,978-4864800129,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,0
メイカーズのエコシステム 新しいモノづくりがとまらない。,高須 正和  (著),ンプレスR&D,2016/4/22,978-4844397236,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,0
問題解決に効く「行為のデザイン」思考法,村田 智明 (著),CCCメディアハウス,2015/9/28,978-4484152219,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,0
LIFE PACKING2.1―未来を生きるためのモノと知恵,高城剛  (著),パブラボ,2016/8/19,978-4434222207,日本語,その他,単行本,,0
ユーザーストーリーマッピング,Jeff Patton (著)、 川口 恭伸 (監修)、 長尾 高弘  (翻訳),オライリージャパン,2015/7/24,978-4873117324,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,0
子どものUXデザイン ―遊びと学びのデジタルエクスペリエンス,デブラ・レヴィン・ゲルマン (著)、 依田光江 (翻訳),ビー・エヌ・エヌ新社,2015/11/25,978-4802510042,日本語,UX・インターフェイス,単行本,,0
インクルーシブデザイン: 社会の課題を解決する参加型デザイン,ジュリア カセム (著、 編集)、 平井 康之 (著、 編集)、 塩瀬 隆之 (著、 編集)、 森下 静香 (著、 編集)、 水野 大二郎 (著)、 & 9 その他,学芸出版社,2014/4/1,978-4761525699,日本語,UX・インターフェイス,単行本,,0
ユーザビリティエンジニアリング(第2版)―ユーザエクスペリエンスのための調査、設計、評価手法,樽本 徹也  (著),オーム社,2014/2/26,978-4274214837,日本語,UX・インターフェイス,単行本,,0
SF映画で学ぶインタフェースデザイン アイデアと想像力を鍛え上げるための141のレッスン,Nathan Shedroff (著)、 Christopher Noessel (著)、 安藤 幸央  (監修、 翻訳)、 赤羽 太郎  (翻訳)、 飯塚 重善 (翻訳)、 & 1 その他,丸善出版,2014/7/30,978-4621088364,日本語,UX・インターフェイス,単行本,,0
デザイニング・マルチデバイス・エクスペリエンス ―デバイスの枠を超えるUXデザインの探求,Michal Levin (著)、 青木 博信 (翻訳)、 大木 嘉人 (翻訳)、 笠原 俊一 (翻訳)、 瀬戸山 雅人  (翻訳)、 矢野 類子 (翻訳),オライリージャパン,2014/12/22,978-4873117089,日本語,UX・インターフェイス,単行本,,0
